"job_skill_pk","job_pk","skill_id"
"1","3","1"
"2","3","2"
"3","3","3"
"4","4","1"
"5","4","2"
"6","4","3"
"7","7","4"
"8","7","2"
"9","7","5"
"10","7","3"
"11","8","6"
"12","9","2"
"13","10","7"
"14","11","8"
"15","11","9"
"16","11","7"
"17","16","1"
"18","16","8"
"19","16","6"
"20","19","1"
"21","19","8"
"22","19","6"
"23","20","1"
"24","20","8"
"25","20","6"
"26","21","1"
"27","21","8"
"28","21","6"
"29","27","6"
"30","28","10"
"31","31","4"
"32","34","8"
"33","34","7"
"34","35","8"
"35","35","9"
"36","35","6"
"37","36","1"
"38","36","8"
"39","36","6"
"40","37","9"
"41","38","9"
"42","50","2"
"43","51","1"
"44","51","8"
"45","53","2"
"46","53","3"
"47","54","2"
"48","54","3"
"49","58","2"
"50","58","3"
"51","59","2"
"52","59","3"
"53","61","2"
"54","62","5"
"55","62","7"
"56","65","11"
"57","65","12"
"58","65","13"
"59","65","3"
"60","66","11"
"61","66","4"
"62","66","14"
"63","66","15"
"64","67","16"
"65","69","16"
"66","70","11"
"67","70","17"
"68","70","18"
"69","70","19"
"70","70","20"
"71","70","3"
"72","70","21"
"73","71","22"
"74","71","23"
"75","71","24"
"76","71","25"
"77","71","26"
"78","71","13"
"79","71","27"
"80","71","28"
"81","71","15"
"82","73","29"
"83","73","30"
"84","73","31"
"85","74","29"
"86","74","30"
"87","74","13"
"88","74","32"
"89","74","33"
"90","75","30"
"91","75","33"
"92","76","1"
"93","76","34"
"94","77","35"
"95","77","36"
"96","77","31"
"97","78","37"
"98","78","38"
"99","79","14"
"100","79","39"
"101","79","40"
"102","81","29"
"103","82","22"
"104","82","41"
"105","82","42"
"106","82","43"
"107","83","22"
"108","83","41"
"109","83","42"
"110","83","43"
"111","84","22"
"112","84","41"
"113","84","42"
"114","84","43"
"115","85","29"
"116","86","11"
"117","86","44"
"118","87","29"
"119","87","44"
"120","88","45"
"121","88","46"
"122","88","47"
"123","88","29"
"124","88","13"
"125","88","3"
"126","89","48"
"127","89","49"
"128","89","24"
"129","89","26"
"130","89","50"
"131","89","27"
"132","90","22"
"133","90","41"
"134","90","42"
"135","90","43"
"136","92","22"
"137","92","41"
"138","92","42"
"139","92","43"
"140","93","22"
"141","93","41"
"142","93","42"
"143","93","43"
"144","95","22"
"145","95","16"
"146","96","37"
"147","96","2"
"148","96","34"
"149","97","8"
"150","97","3"
"151","97","21"
"152","98","11"
"153","98","34"
"154","98","3"
"155","99","34"
"156","99","3"
"157","100","4"
"158","101","39"
"159","102","22"
"160","102","51"
"161","102","32"
"162","103","22"
"163","103","52"
"164","103","23"
"165","103","53"
"166","103","43"
"167","103","51"
"168","105","11"
"169","110","54"
"170","111","2"
"171","112","1"
"172","112","3"
"173","112","15"
"174","114","11"
"175","114","2"
"176","114","3"
"177","117","37"
"178","118","37"
"179","118","38"
"180","119","39"
"181","119","3"
"182","120","39"
"183","120","3"
"184","121","11"
"185","121","8"
"186","121","3"
"187","122","11"
"188","122","8"
"189","122","3"
"190","123","11"
"191","123","8"
"192","123","3"
"193","124","11"
"194","124","2"
"195","124","8"
"196","124","3"
"197","125","11"
"198","125","8"
"199","126","2"
"200","126","14"
"201","126","44"
"202","126","13"
"203","126","39"
"204","126","3"
"205","126","55"
"206","127","2"
"207","127","14"
"208","127","44"
"209","127","13"
"210","127","39"
"211","127","3"
"212","127","55"
"213","128","11"
"214","128","3"
"215","129","11"
"216","129","3"
"217","130","4"
"218","130","56"
"219","131","4"
"220","131","56"
"221","132","4"
"222","132","56"
"223","133","4"
"224","133","56"
"225","134","4"
"226","134","56"
"227","135","4"
"228","135","56"
"229","136","4"
"230","136","44"
