"skill_id","skill_name"
"1","CRM"
"2","Excel"
"3","SQL"
"4","Customer Success"
"5","Financial Modeling"
"6","Product Strategy"
"7","Negotiation"
"8","Forecasting"
"9","Lead Generation"
"10","Sales Strategy"
"11","Accounting"
"12","Databricks"
"13","Python"
"14","Lean"
"15","Salesforce"
"16","React"
"17","Content Marketing"
"18","Google Analytics"
"19","Looker"
"20","SEO"
"21","Tableau"
"22","AWS"
"23","GCP"
"24","JavaScript"
"25","Next.js"
"26","Node.js"
"27","Ruby"
"28","SAS"
"29","Java"
"30","Kotlin"
"31","Performance Management"
"32","Swift"
"33","User Research"
"34","Project Management"
"35","Fraud Detection"
"36","KYC"
"37","Design Systems"
"38","Figma"
"39","Risk Management"
"40","Six Sigma"
"41","Docker"
"42","GraphQL"
"43","Kubernetes"
"44","Machine Learning"
"45","Airflow"
"46","Apache Spark"
"47","Hadoop"
"48","GitHub"
"49","Go"
"50","PHP"
"51","Linux"
"52","Azure"
"53","IAM"
"54","AML"
"55","Stata"
"56","Product Management"
"57","Contract Management"
"58","A/B Testing"
"59","CSS"
"60","HTML"
"61","Kafka"
"62","Marketo"
"63","Budgeting"
"64","Workday"
"65","Git"
"66","Prototyping"
"67","TypeScript"
"68","Jira"
"69","ERP"
"70","NetSuite"
"71","Confluence"
"72","HRIS"
"73","SEM"
"74","Terraform"
"75","GitLab"
"76","Snowflake"
"77","Email Marketing"
"78","Deep Learning"
"79","PyTorch"
"80","TensorFlow"
"81","XGBoost"
"82","Roadmapping"
"83","R"
"84","SAP"
"85","GDPR"
"86","Pandas"
"87","UI Design"
"88","ISO 27001"
"89","PCI DSS"
"90","SIEM"
"91","Scikit-learn"
"92","Django"
"93","Rust"
"94","Cybersecurity"
"95","UX Design"
"96","dbt"
"97","HubSpot"
"98","Zendesk"
"99","REST API"
"100","Redis"
"101","FastAPI"
"102","Vue.js"
"103","Corporate Law"
"104","Angular"
"105","Power BI"
"106","Power Query"
"107","Alteryx"
"108","Adobe XD"
"109","Sketch"
"110","NumPy"
"111","QuickBooks"
"112","Amplitude"
"113","Flask"
